market,opening_price,trade_price,high_price,low_price,candle_acc_trade_volume,candle_date_time_kst
KRW-BTC,80340000.0,80397000.0,80410000.0,80317000.0,3.01842317,2024-09-14T22:50:00
KRW-BTC,80311000.0,80340000.0,80410000.0,80290000.0,6.55508979,2024-09-14T22:45:00
KRW-BTC,80300000.0,80312000.0,80312000.0,80251000.0,1.99904484,2024-09-14T22:40:00
KRW-ETH,3250000.0,3251000.0,3251000.0,3248000.0,15.93431841,2024-09-14T22:50:00
KRW-ETH,3250000.0,3250000.0,3251000.0,3247000.0,23.50797779,2024-09-14T22:45:00
KRW-ETH,3247000.0,3250000.0,3251000.0,3246000.0,15.21123432,2024-09-14T22:40:00
BTC-ETH,0.04029484,0.0401,0.0403048,0.0401,3.0,2024-09-14T22:30:00
BTC-ETH,0.0403048,0.0403048,0.0403048,0.0403048,0.19227659,2024-09-14T21:10:00
BTC-ETH,0.0401,0.0401,0.0401,0.0401,0.002,2024-09-14T19:20:00
BTC-XRP,9.77e-06,9.77e-06,9.77e-06,9.77e-06,16.62517247,2024-09-14T22:05:00
BTC-XRP,9.89e-06,9.89e-06,9.89e-06,9.89e-06,1600.0,2024-09-14T21:20:00
BTC-XRP,9.9e-06,9.9e-06,9.9e-06,9.9e-06,51.0,2024-09-14T20:50:00
BTC-ETC,0.00030809,0.00031,0.00031,0.00030809,10.84522726,2024-09-14T19:05:00
BTC-ETC,0.0003117,0.0003117,0.0003117,0.0003117,0.06065094,2024-09-14T10:55:00
BTC-ETC,0.0003117,0.0003117,0.0003117,0.0003117,10.232733,2024-09-14T10:40:00
BTC-CVC,1.77e-06,1.77e-06,1.77e-06,1.77e-06,695.8744683,2024-09-14T14:10:00
BTC-CVC,1.89e-06,1.89e-06,1.89e-06,1.89e-06,6878.3068783,2024-09-13T12:15:00
BTC-CVC,1.89e-06,1.89e-06,1.89e-06,1.89e-06,50.31377551,2024-09-13T00:35:00
BTC-DGB,1.1e-07,1.1e-07,1.1e-07,1.1e-07,1000.0,2024-09-14T20:15:00
BTC-DGB,1.1e-07,1.1e-07,1.1e-07,1.1e-07,114879.70463368,2024-09-14T15:50:00
BTC-DGB,1.1e-07,1.1e-07,1.1e-07,1.1e-07,135977.64772882,2024-09-14T15:25:00
BTC-SC,8e-08,8e-08,8e-08,8e-08,52123.375,2024-09-14T14:55:00
BTC-SC,7e-08,7e-08,7e-08,7e-08,2701.04711628,2024-09-14T09:00:00
BTC-SC,7e-08,8e-08,8e-08,7e-08,1628736.96844676,2024-09-13T18:55:00
BTC-SNT,3.6e-07,3.6e-07,3.6e-07,3.6e-07,15492.84683029,2024-09-13T20:35:00
BTC-SNT,3.8e-07,3.8e-07,3.8e-07,3.8e-07,30985.69366058,2024-09-13T20:30:00
BTC-SNT,3.6e-07,3.6e-07,3.6e-07,3.6e-07,6003.26706735,2024-09-13T19:20:00
BTC-WAVES,1.717e-05,1.717e-05,1.717e-05,1.717e-05,412.43493389,2024-09-14T17:45:00
BTC-WAVES,1.693e-05,1.693e-05,1.693e-05,1.693e-05,109.98059598,2024-09-14T13:05:00
BTC-WAVES,1.736e-05,1.736e-05,1.736e-05,1.736e-05,112.44761659,2024-09-14T08:00:00
BTC-NMR,0.00024513,0.00024373,0.00024513,0.00024344,5.0,2024-09-14T18:35:00
BTC-NMR,0.00024848,0.00024848,0.00024848,0.00024848,17.427962,2024-09-14T14:40:00
BTC-NMR,0.00024473,0.00024473,0.00024473,0.00024473,33.30030237,2024-09-14T13:40:00
BTC-XEM,3e-07,3e-07,3e-07,3e-07,305.37556774,2024-09-14T20:40:00
BTC-XEM,3e-07,3e-07,3e-07,3e-07,18675.75823578,2024-09-14T20:00:00
BTC-XEM,3e-07,3e-07,3e-07,3e-07,2180.32345084,2024-09-14T11:25:00
BTC-QTUM,3.95e-05,3.95e-05,3.95e-05,3.95e-05,13.69521912,2024-09-14T19:45:00
BTC-QTUM,3.974e-05,3.974e-05,3.974e-05,3.974e-05,5.0,2024-09-14T06:25:00
BTC-QTUM,3.764e-05,3.764e-05,3.764e-05,3.764e-05,6.58837756,2024-09-13T23:50:00
BTC-BAT,2.96e-06,2.96e-06,2.96e-06,2.96e-06,7.07381636,2024-09-13T08:20:00
BTC-BAT,2.96e-06,2.96e-06,2.96e-06,2.96e-06,633.0,2024-09-13T06:25:00
BTC-BAT,2.88e-06,2.88e-06,2.88e-06,2.88e-06,115.33328335,2024-09-12T16:40:00
BTC-LSK,1.36e-05,1.36e-05,1.36e-05,1.36e-05,33.96621689,2024-09-13T20:55:00
BTC-LSK,1.348e-05,1.348e-05,1.348e-05,1.348e-05,10.0,2024-09-11T15:30:00
BTC-LSK,1.423e-05,1.423e-05,1.423e-05,1.423e-05,103.82544944,2024-09-11T14:25:00
BTC-STEEM,2.92e-06,2.92e-06,2.92e-06,2.92e-06,224.463,2024-09-13T12:55:00
BTC-STEEM,2.94e-06,2.94e-06,2.94e-06,2.94e-06,54.55872394,2024-09-13T08:40:00
BTC-STEEM,2.99e-06,2.99e-06,2.99e-06,2.99e-06,4042.40050086,2024-09-11T02:55:00
BTC-DOGE,1.75e-06,1.75e-06,1.75e-06,1.75e-06,1394.56210191,2024-09-14T22:05:00
BTC-DOGE,1.75e-06,1.75e-06,1.75e-06,1.75e-06,699.4403428,2024-09-14T20:40:00
BTC-DOGE,1.75e-06,1.75e-06,1.75e-06,1.75e-06,774.26296682,2024-09-14T20:20:00
BTC-BNT,8.14e-06,8.14e-06,8.14e-06,8.14e-06,100.0,2024-09-14T21:45:00
BTC-BNT,8.1e-06,8.1e-06,8.1e-06,8.1e-06,62.88532675,2024-09-14T20:25:00
BTC-BNT,8.11e-06,8.11e-06,8.11e-06,8.11e-06,100.0,2024-09-14T15:05:00
BTC-XLM,1.59e-06,1.59e-06,1.59e-06,1.59e-06,5000.0,2024-09-14T09:35:00
BTC-XLM,1.6e-06,1.6e-06,1.6e-06,1.6e-06,18.707722,2024-09-14T08:45:00
BTC-XLM,1.62e-06,1.62e-06,1.62e-06,1.62e-06,64.43829655,2024-09-14T00:55:00
BTC-ARDR,1.19e-06,1.19e-06,1.19e-06,1.19e-06,5000.0,2024-09-12T13:15:00
BTC-ARDR,1.13e-06,1.13e-06,1.13e-06,1.13e-06,9985.3174602,2024-09-12T11:55:00
BTC-ARDR,1.2e-06,1.2e-06,1.2e-06,1.2e-06,73.80560074,2024-09-12T06:20:00
BTC-ARK,5.33e-06,5.33e-06,5.33e-06,5.33e-06,663.08630393,2024-09-14T09:30:00
BTC-ARK,5.35e-06,5.35e-06,5.35e-06,5.35e-06,32.02484779,2024-09-11T10:35:00
BTC-ARK,5.35e-06,5.35e-06,5.35e-06,5.35e-06,42.69979705,2024-09-11T01:00:00
BTC-STORJ,6.07e-06,6.07e-06,6.07e-06,6.07e-06,152.0518975,2024-09-14T11:50:00
BTC-STORJ,6.06e-06,6.06e-06,6.06e-06,6.06e-06,61.81743251,2024-09-14T09:45:00
BTC-STORJ,6.28e-06,6.28e-06,6.28e-06,6.28e-06,259.57802547,2024-09-13T16:40:00
BTC-GRS,4.83e-06,4.83e-06,4.83e-06,4.83e-06,157.33700682,2024-09-14T21:10:00
BTC-GRS,4.83e-06,4.83e-06,4.83e-06,4.83e-06,202.25158146,2024-09-14T11:25:00
BTC-GRS,5.09e-06,5.09e-06,5.09e-06,5.09e-06,172.5165209,2024-09-13T15:50:00
BTC-RLC,2.518e-05,2.518e-05,2.518e-05,2.518e-05,3.6282764,2024-09-14T22:30:00
BTC-RLC,2.518e-05,2.518e-05,2.518e-05,2.518e-05,22.23987291,2024-09-14T19:50:00
BTC-RLC,2.49e-05,2.49e-05,2.49e-05,2.49e-05,1979.91967872,2024-09-14T19:00:00
